1,27,50,63,47,19,14,5,2,1,0,0
2,32,71,59,34,19,11,2,0,0,0,0
3,37,57,70,32,23,8,1,0,0,0,0
4,48,65,51,44,14,4,1,0,0,1,0
5,41,62,61,32,22,8,1,1,0,0,0
6,43,65,56,35,20,7,2,0,0,0,0
7,55,69,58,28,11,4,2,0,0,1,0
8,70,76,43,26,10,2,1,0,0,0,0
9,62,91,53,18,4,0,0,0,0,0,0
10,65,72,48,33,9,1,0,0,0,0,0
11,65,78,53,27,3,1,0,1,0,0,0
12,72,70,55,19,8,4,0,0,0,0,0
13,72,79,53,19,5,0,0,0,0,0,0
14,79,82,44,16,4,3,0,0,0,0,0
15,81,78,50,16,3,0,0,0,0,0,0
16,81,80,46,15,5,1,0,0,0,0,0
17,72,87,49,19,1,0,0,0,0,0,0
18,100,88,29,8,3,0,0,0,0,0,0
19,89,89,25,18,5,1,1,0,0,0,0
20,102,79,33,9,5,0,0,0,0,0,0
